date,open,high,low,close,volume,amount,turnover_pct,chg_pct
2022-01-25,2.32201302,2.32980501,2.29863705,2.29863705,274827984,815030119.39,0.0918,-1.3378
2022-01-26,2.29863705,2.31422103,2.29863705,2.30642904,231947200,685802151.0,0.0775,0.339
2022-01-27,2.29863705,2.31422103,2.29084506,2.29863705,311217344,919160093.57,0.104,-0.3378
2022-01-28,2.29863705,2.32201302,2.29863705,2.30642904,366889072,1088860120.39,0.1226,0.339
2022-02-07,2.32201302,2.34538899,2.31422103,2.337597,350365408,1049043069.0,0.1171,1.3514
2022-02-08,2.337597,2.39993292,2.337597,2.38434894,573849696,1747192482.34,0.1917,2.0
2022-02-09,2.38434894,2.39993292,2.36876496,2.37655695,415602896,1271945214.49,0.1389,-0.3268
2022-02-10,2.37655695,2.39993292,2.36876496,2.39993292,332191328,1017759229.01,0.111,0.9836
2022-02-11,2.39214093,2.40772491,2.38434894,2.39993292,338708800,1042018813.74,0.1132,0.0
2022-02-14,2.39993292,2.39993292,2.36097297,2.36876496,339775504,1036194895.0,0.1135,-1.2987
2022-02-15,2.36876496,2.37655695,2.35318098,2.35318098,312390768,948451792.65,0.1044,-0.6579
2022-02-16,2.36097297,2.37655695,2.36097297,2.36876496,184504168,560434318.14,0.0616,0.6623
2022-02-17,2.36876496,2.38434894,2.36097297,2.36876496,267894278,815437965.12,0.0895,0.0
2022-02-18,2.36097297,2.37655695,2.36097297,2.37655695,187930048,571265355.51,0.0628,0.3289
2022-02-21,2.37655695,2.37655695,2.36097297,2.36097297,185332109,562213437.27,0.0619,-0.6557
2022-02-22,2.36097297,2.36097297,2.34538899,2.34538899,196674954,593734790.55,0.0657,-0.6601
2022-02-23,2.35318098,2.35318098,2.337597,2.34538899,242722355,729779726.57,0.0811,0.0
